Date,Cash-Buy,Spot-Buy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,Cash-Sell,Spot-Sell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
2018-11-01,30.495,30.865,30.842,30.796999999999997,30.706,30.615,30.554000000000002,30.46,30.377,31.185,30.965,30.947,30.91,30.819000000000003,30.734,30.678,30.59,30.523000000000003
2018-11-02,30.3,30.67,30.647,30.601999999999997,30.513,30.423000000000002,30.361,30.268,30.186999999999998,30.99,30.77,30.750999999999998,30.713,30.625,30.537,30.476999999999997,30.392,30.325
2018-11-05,30.335,30.705,30.680999999999997,30.634,30.546999999999997,30.458000000000002,30.388,30.3,30.217,31.025,30.805,30.785999999999998,30.748,30.663,30.576999999999998,30.517,30.44,30.359
2018-11-06,30.35,30.72,30.694000000000003,30.641,30.559,30.47,30.403000000000002,30.31,30.221999999999998,31.04,30.82,30.799,30.756,30.673000000000002,30.587,30.525,30.45,30.368000000000002
2018-11-07,30.33,30.7,30.675,30.625999999999998,30.537,30.451999999999998,30.373,30.291999999999998,30.201999999999998,31.02,30.8,30.78,30.74,30.648000000000003,30.564,30.5,30.421999999999997,30.348000000000003
2018-11-08,30.275,30.645,30.622,30.576,30.48,30.401999999999997,30.322,30.23,30.145,30.965,30.745,30.726,30.686999999999998,30.593000000000004,30.514,30.444000000000003,30.355,30.285999999999998
2018-11-09,30.38,30.75,30.726999999999997,30.680999999999997,30.585,30.508000000000003,30.428,30.334,30.25,31.07,30.85,30.831,30.794,30.701,30.622,30.552,30.462,30.391
2018-11-12,30.46,30.83,30.807,30.761999999999997,30.666999999999998,30.586,30.508000000000003,30.415,30.326999999999998,31.15,30.93,30.910999999999998,30.873,30.779,30.697,30.625,30.541999999999998,30.467
2018-11-13,30.475,30.845,30.820999999999998,30.773000000000003,30.682,30.595,30.523000000000003,30.43,30.343000000000004,31.165,30.945,30.925,30.885,30.793000000000003,30.715,30.643,30.558000000000003,30.483
2018-11-14,30.49,30.86,30.836,30.789,30.694000000000003,30.6,30.528000000000002,30.441999999999997,30.349,31.18,30.96,30.94,30.901,30.807,30.72,30.651999999999997,30.572,30.49
2018-11-15,30.42,30.79,30.767,30.721999999999998,30.616,30.539,30.458000000000002,30.37,30.279,31.11,30.89,30.871,30.834,30.728,30.651999999999997,30.579,30.5,30.418000000000003
2018-11-16,30.465,30.835,30.813000000000002,30.768,30.662,30.583000000000002,30.505,30.406999999999996,30.324,31.155,30.935,30.916,30.878,30.775,30.695999999999998,30.625,30.537,30.468000000000004
2018-11-19,30.48,30.85,30.826,30.779,30.68,30.598000000000003,30.516,30.424,30.337,31.17,30.95,30.930999999999997,30.893,30.795,30.71,30.642,30.552,30.48
2018-11-20,30.48,30.85,30.826,30.779,30.684,30.593000000000004,30.514,30.428,30.339000000000002,31.17,30.95,30.93,30.891,30.795,30.71,30.636,30.555999999999997,30.483
2018-11-21,30.465,30.835,30.811999999999998,30.765,30.67,30.584,30.503,30.418000000000003,30.331,31.155,30.935,30.915,30.875999999999998,30.781999999999996,30.698,30.624000000000002,30.548000000000002,30.471
2018-11-22,30.465,30.835,30.813000000000002,30.768,30.665,30.585,30.506,30.416999999999998,30.322,31.155,30.935,30.916,30.879,30.776999999999997,30.698,30.622,30.54,30.463
2018-11-23,30.475,30.845,30.820999999999998,30.772,30.675,30.595,30.515,30.421999999999997,30.331999999999997,31.165,30.945,30.926,30.889,30.79,30.708000000000002,30.635,30.55,30.478
2018-11-26,30.455,30.825,30.802,30.755,30.655,30.574,30.494,30.401,30.311,31.145,30.925,30.906,30.869,30.775,30.694000000000003,30.614,30.529,30.458000000000002
2018-11-27,30.47,30.84,30.818,30.773000000000003,30.671,30.593000000000004,30.506999999999998,30.416999999999998,30.33,31.16,30.94,30.921999999999997,30.886,30.789,30.712,30.631,30.546999999999997,30.475
2018-11-28,30.48,30.85,30.829,30.788,30.683000000000003,30.609,30.526999999999997,30.434,30.342,31.17,30.95,30.933000000000003,30.899,30.798000000000002,30.725,30.644000000000002,30.56,30.488000000000003
2018-11-29,30.41,30.78,30.75,30.69,30.588,30.535,30.448,30.36,30.272,31.1,30.88,30.855999999999998,30.807,30.715,30.665,30.581999999999997,30.495,30.433000000000003
2018-11-30,30.41,30.78,30.75,30.69,30.595,30.54,30.443,30.365,30.284000000000002,31.1,30.88,30.855999999999998,30.809,30.715,30.66,30.572,30.5,30.433000000000003
