Date,CashBuy,SpotBuy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,CashSell,SpotSell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
20180102,29.265,29.565,29.545,29.505,29.455,29.39,29.338,29.277,29.214,29.807,29.665,29.651,29.622,29.572,29.512,29.467,29.415,29.363
20180103,29.225,29.525,29.508,29.473,29.423,29.363,29.303,29.25,29.187,29.767,29.625,29.612,29.585,29.537,29.479,29.437,29.385,29.335
20180104,29.23,29.53,29.513,29.478,29.43,29.372,29.318,29.252,29.192,29.772,29.63,29.616,29.589,29.542,29.487,29.437,29.384,29.332
20180105,29.15,29.45,29.433,29.399,29.357,29.297,29.249,29.185,29.124,29.692,29.55,29.538,29.515,29.468,29.416,29.374,29.315,29.265
20180108,29.15,29.45,29.433,29.4,29.357,29.307,29.252,29.18,29.127,29.692,29.55,29.539,29.517,29.472,29.42,29.371,29.315,29.267
20180109,29.185,29.485,29.468,29.435,29.389,29.335,29.283,29.217,29.153,29.727,29.585,29.573,29.549,29.502,29.452,29.402,29.348,29.298
20180110,29.245,29.545,29.529,29.497,29.451,29.397,29.337,29.271,29.209,29.787,29.645,29.634,29.611,29.567,29.51,29.457,29.402,29.353
20180111,29.25,29.55,29.532,29.496,29.458,29.403,29.339,29.271,29.214,29.792,29.65,29.636,29.608,29.573,29.517,29.464,29.4,29.357
20180112,29.245,29.545,29.527,29.492,29.456,29.399,29.336,29.273,29.21,29.787,29.645,29.632,29.606,29.568,29.511,29.457,29.404,29.35
20180115,29.185,29.485,29.468,29.433,29.393,29.336,29.276,29.202,29.144,29.727,29.585,29.572,29.545,29.504,29.449,29.4,29.34,29.291
20180116,29.195,29.495,29.478,29.443,29.402,29.346,29.284,29.222,29.155,29.737,29.595,29.582,29.556,29.516,29.459,29.403,29.347,29.297
20180117,29.2,29.5,29.482,29.445,29.404,29.35,29.283,29.215,29.149,29.742,29.6,29.587,29.561,29.521,29.462,29.407,29.35,29.297
20180118,29.2,29.5,29.484,29.451,29.409,29.351,29.283,29.22,29.152,29.742,29.6,29.588,29.563,29.521,29.462,29.417,29.355,29.302
20180119,29.06,29.36,29.343,29.31,29.268,29.213,29.148,29.077,29.017,29.602,29.46,29.448,29.423,29.381,29.325,29.269,29.206,29.162
20180122,28.99,29.29,29.273,29.238,29.19,29.14,29.078,29.01,28.942,29.532,29.39,29.377,29.351,29.309,29.252,29.197,29.137,29.093
20180123,28.91,29.21,29.193,29.158,29.113,29.057,28.995,28.93,28.862,29.452,29.31,29.297,29.27,29.224,29.168,29.112,29.055,29
20180124,28.86,29.16,29.144,29.112,29.068,29.013,28.946,28.887,28.82,29.402,29.26,29.248,29.224,29.18,29.125,29.069,29.018,28.966
20180125,28.695,28.995,28.98,28.951,28.905,28.851,28.793,28.73,28.659,29.237,29.095,29.084,29.063,29.017,28.962,28.911,28.855,28.803
20180126,28.735,29.035,29.021,28.992,28.944,28.893,28.83,28.772,28.702,29.277,29.135,29.125,29.106,29.057,29.007,28.956,28.9,28.848
20180129,28.795,29.095,29.081,29.054,29.005,28.952,28.888,28.825,28.757,29.337,29.195,29.185,29.166,29.117,29.065,29.012,28.955,28.898
20180130,28.87,29.17,29.156,29.128,29.077,29.026,28.967,28.902,28.832,29.412,29.27,29.26,29.241,29.189,29.138,29.084,29.028,28.971
20180131,28.78,29.08,29.066,29.038,28.989,28.938,28.874,28.81,28.742,29.322,29.18,29.171,29.152,29.103,29.053,28.994,28.94,28.885
