Date,CashBuy,SpotBuy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,CashSell,SpotSell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
20190329,30.4,30.77,30.749,30.707,30.646,30.588,30.528,30.462,30.392,31.09,30.87,30.853,30.818,30.759,30.701,30.643,30.588,30.543
20190328,30.425,30.795,30.773,30.729,30.665,30.608,30.545,30.48,30.415,31.115,30.895,30.877,30.84,30.779,30.724,30.665,30.608,30.558
20190327,30.43,30.8,30.777,30.731,30.669,30.615,30.548,30.486,30.417,31.12,30.9,30.881,30.842,30.783,30.727,30.667,30.612,30.559
20190326,30.41,30.78,30.757,30.71,30.65,30.588,30.522,30.459,30.386,31.1,30.88,30.861,30.822,30.763,30.701,30.641,30.584,30.526
20190325,30.4,30.77,30.745,30.696,30.635,30.573,30.503,30.442,30.372,31.09,30.87,30.85,30.809,30.75,30.69,30.627,30.572,30.518
20190322,30.375,30.745,30.722,30.675,30.607,30.545,30.483,30.415,30.345,31.065,30.845,30.825,30.786,30.721,30.66,30.598,30.538,30.484
20190321,30.39,30.76,30.736,30.689,30.618,30.557,30.49,30.424,30.35,31.08,30.86,30.84,30.8,30.731,30.673,30.612,30.549,30.496
20190320,30.41,30.78,30.756,30.708,30.643,30.572,30.507,30.438,30.362,31.1,30.88,30.86,30.82,30.757,30.686,30.626,30.563,30.503
20190319,30.41,30.78,30.755,30.705,30.642,30.573,30.502,30.437,30.357,31.1,30.88,30.859,30.817,30.755,30.687,30.619,30.559,30.497
20190318,30.41,30.78,30.754,30.702,30.64,30.573,30.497,30.432,30.357,31.1,30.88,30.859,30.816,30.757,30.689,30.621,30.562,30.503
20190315,30.455,30.825,30.801,30.753,30.686,30.622,30.55,30.482,30.408,31.145,30.925,30.905,30.864,30.8,30.733,30.672,30.608,30.548
20190314,30.47,30.84,30.816,30.768,30.698,30.636,30.568,30.498,30.424,31.16,30.94,30.919,30.878,30.812,30.749,30.686,30.621,30.567
20190313,30.48,30.85,30.826,30.777,30.714,30.644,30.575,30.508,30.432,31.17,30.95,30.929,30.888,30.827,30.755,30.697,30.635,30.574
20190312,30.48,30.85,30.826,30.777,30.713,30.648,30.577,30.51,30.437,31.17,30.95,30.929,30.888,30.828,30.763,30.7,30.64,30.58
20190311,30.48,30.85,30.825,30.775,30.716,30.652,30.579,30.515,30.434,31.17,30.95,30.929,30.888,30.83,30.765,30.698,30.643,30.582
20190308,30.475,30.845,30.822,30.775,30.709,30.647,30.578,30.51,30.437,31.165,30.945,30.925,30.885,30.822,30.76,30.699,30.635,30.583
20190307,30.445,30.815,30.791,30.744,30.676,30.614,30.543,30.473,30.404,31.135,30.915,30.895,30.855,30.793,30.727,30.667,30.602,30.544
20190306,30.425,30.795,30.771,30.724,30.661,30.589,30.522,30.455,30.379,31.115,30.895,30.875,30.835,30.773,30.704,30.642,30.58,30.523
20190305,30.42,30.79,30.765,30.715,30.652,30.578,30.509,30.44,30.365,31.11,30.89,30.869,30.828,30.767,30.693,30.633,30.573,30.511
20190304,30.4,30.77,30.744,30.693,30.631,30.566,30.487,30.42,30.347,31.09,30.87,30.849,30.807,30.749,30.678,30.612,30.555,30.493
