Date,Cash-Buy,Spot-Buy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,Cash-Sell,Spot-Sell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
2018-09-03,30.28,30.65,30.628,30.585,30.519000000000002,30.453000000000003,30.363000000000003,30.276999999999997,30.215,30.97,30.75,30.732,30.697,30.633000000000003,30.569000000000003,30.487,30.406999999999996,30.355999999999998
2018-09-04,30.33,30.7,30.677,30.63,30.568,30.502,30.413,30.325,30.261999999999997,31.02,30.8,30.781,30.741999999999997,30.680999999999997,30.616,30.534000000000002,30.455,30.404
2018-09-05,30.375,30.745,30.723000000000003,30.678,30.615,30.546999999999997,30.458000000000002,30.375,30.307,31.065,30.845,30.826,30.788,30.729,30.660999999999998,30.58,30.502,30.45
2018-09-06,30.37,30.74,30.718000000000004,30.673000000000002,30.601999999999997,30.541999999999998,30.453000000000003,30.38,30.301,31.06,30.84,30.822,30.787,30.719,30.656999999999996,30.574,30.502,30.443
2018-09-07,30.345,30.715,30.693,30.65,30.579,30.519000000000002,30.43,30.357,30.276999999999997,31.035,30.815,30.796999999999997,30.761,30.694000000000003,30.631,30.551,30.483,30.419
2018-09-10,30.39,30.76,30.737,30.691999999999997,30.621,30.555,30.461,30.385,30.307,31.08,30.86,30.840999999999998,30.802,30.732,30.668000000000003,30.58,30.515,30.453000000000003
2018-09-11,30.385,30.755,30.73,30.680999999999997,30.616999999999997,30.546,30.448,30.37,30.291999999999998,31.075,30.855,30.834,30.793000000000003,30.729,30.658,30.57,30.503,30.448
2018-09-12,30.385,30.755,30.732,30.685,30.616999999999997,30.548000000000002,30.455,30.375,30.299,31.075,30.855,30.836,30.796999999999997,30.730999999999998,30.662,30.576999999999998,30.502,30.438000000000002
2018-09-13,30.38,30.75,30.726999999999997,30.682,30.611,30.543000000000003,30.45,30.365,30.29,31.07,30.85,30.831,30.793000000000003,30.721999999999998,30.656999999999996,30.572,30.491999999999997,30.433000000000003
2018-09-14,30.32,30.69,30.666999999999998,30.621,30.55,30.482,30.388,30.305,30.23,31.01,30.79,30.771,30.734,30.665,30.596999999999998,30.509,30.435,30.375999999999998
2018-09-17,30.38,30.75,30.726999999999997,30.680999999999997,30.612,30.541999999999998,30.441,30.365,30.287,31.07,30.85,30.831,30.791999999999998,30.725,30.656,30.561999999999998,30.495,30.433000000000003
2018-09-18,30.385,30.755,30.730999999999998,30.682,30.619,30.551,30.451,30.375,30.296999999999997,31.075,30.855,30.835,30.796,30.733,30.662,30.569000000000003,30.5,30.436
2018-09-19,30.36,30.73,30.706999999999997,30.662,30.599,30.528000000000002,30.43,30.355,30.276,31.05,30.83,30.811,30.773000000000003,30.71,30.642,30.557,30.485,30.42
2018-09-20,30.37,30.74,30.718000000000004,30.675,30.609,30.545,30.451,30.37,30.291999999999998,31.06,30.84,30.822,30.785999999999998,30.721,30.656999999999996,30.572,30.505,30.430999999999997
2018-09-21,30.28,30.65,30.628,30.585,30.519000000000002,30.455,30.361,30.284000000000002,30.205,30.97,30.75,30.733,30.698,30.636,30.57,30.482,30.414,30.348000000000003
2018-09-25,30.24,30.61,30.587,30.541,30.478,30.415,30.201,30.182,30.162,30.93,30.71,30.691,30.654,30.594,30.531999999999996,30.340999999999998,30.325,30.308000000000003
2018-09-26,30.27,30.64,30.615,30.566,30.503,30.441,30.343000000000004,30.268,30.186999999999998,30.96,30.74,30.719,30.677,30.62,30.559,30.467,30.4,30.336
2018-09-27,30.17,30.54,30.517,30.471,30.404,30.326,30.248,30.168000000000003,30.09,30.86,30.64,30.621,30.583000000000002,30.517,30.439,30.372,30.298000000000002,30.236
2018-09-28,30.105,30.475,30.451999999999998,30.406999999999996,30.342,30.267,30.168000000000003,30.11,30.035,30.795,30.575,30.557,30.52,30.455,30.38,30.291999999999998,30.24,30.171999999999997
