Date,CashBuy,SpotBuy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,CashSell,SpotSell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
20190102,30.365,30.735,30.7,30.63,30.575,30.482,30.408,30.33,30.242,31.055,30.835,30.807,30.752,30.7,30.608,30.537,30.463,30.393
20190103,30.455,30.825,30.794,30.732,30.67,30.582,30.508,30.417,30.341,31.145,30.925,30.898,30.844,30.788,30.702,30.629,30.542,30.479
20190104,30.435,30.805,30.776,30.717,30.657,30.573,30.495,30.408,30.327,31.125,30.905,30.881,30.832,30.775,30.685,30.614,30.535,30.471
20190107,30.385,30.755,30.728,30.673,30.605,30.524,30.448,30.365,30.279,31.075,30.855,30.832,30.786,30.723,30.637,30.572,30.495,30.421
20190108,30.415,30.785,30.758,30.705,30.638,30.554,30.478,30.395,30.307,31.105,30.885,30.864,30.821,30.755,30.67,30.598,30.522,30.453
20190109,30.375,30.745,30.721,30.672,30.608,30.519,30.437,30.36,30.274,31.065,30.845,30.825,30.785,30.723,30.633,30.559,30.488,30.416
20190110,30.36,30.73,30.706,30.658,30.592,30.505,30.43,30.35,30.26,31.05,30.83,30.811,30.774,30.711,30.62,30.554,30.48,30.403
20190111,30.375,30.745,30.721,30.672,30.605,30.52,30.443,30.359,30.277,31.065,30.845,30.826,30.788,30.723,30.636,30.567,30.49,30.419
20190114,30.42,30.79,30.763,30.71,30.648,30.568,30.49,30.406,30.322,31.11,30.89,30.868,30.825,30.764,30.679,30.609,30.534,30.464
20190115,30.395,30.765,30.74,30.689,30.627,30.544,30.465,30.387,30.297,31.085,30.865,30.843,30.8,30.739,30.656,30.587,30.515,30.443
20190116,30.405,30.775,30.75,30.699,30.639,30.555,30.474,30.399,30.311,31.095,30.875,30.854,30.812,30.751,30.668,30.592,30.525,30.453
20190117,30.425,30.795,30.771,30.724,30.659,30.579,30.498,30.421,30.336,31.115,30.895,30.875,30.835,30.773,30.69,30.622,30.547,30.478
20190118,30.42,30.79,30.766,30.719,30.657,30.577,30.504,30.421,30.338,31.11,30.89,30.871,30.832,30.771,30.691,30.627,30.55,30.484
20190119,30.415,30.785,30.761,30.713,30.651,30.57,30.491,30.411,30.331,31.105,30.885,30.866,30.827,30.765,30.685,30.615,30.545,30.474
20190121,30.425,30.795,30.769,30.718,30.657,30.581,30.507,30.424,30.345,31.115,30.895,30.874,30.833,30.771,30.692,30.627,30.552,30.484
20190122,30.47,30.84,30.816,30.767,30.706,30.627,30.555,30.475,30.392,31.16,30.94,30.919,30.878,30.817,30.738,30.67,30.6,30.531
20190123,30.47,30.84,30.816,30.768,30.706,30.628,30.549,30.477,30.394,31.16,30.94,30.92,30.881,30.82,30.742,30.669,30.603,30.536
20190124,30.46,30.83,30.807,30.761,30.699,30.618,30.543,30.466,30.382,31.15,30.93,30.911,30.873,30.81,30.732,30.667,30.595,30.528
20190125,30.4,30.77,30.748,30.703,30.64,30.561,30.49,30.41,30.327,31.09,30.87,30.851,30.814,30.751,30.674,30.61,30.54,30.473
20190128,30.37,30.74,30.718,30.674,30.613,30.538,30.466,30.394,30.309,31.06,30.84,30.823,30.789,30.725,30.653,30.59,30.524,30.457
20190129,30.39,30.76,30.74,30.701,30.637,30.567,30.495,30.426,30.339,31.08,30.86,30.844,30.812,30.749,30.678,30.614,30.552,30.48
20190130,30.34,30.71,30.687,30.642,30.582,30.517,30.44,30.37,30.287,31.03,30.81,30.792,30.757,30.695,30.632,30.565,30.507,30.436
20190131,30.315,30.685,30.666,30.627,30.558,30.491,30.422,30.345,30.267,31.005,30.785,30.77,30.74,30.672,30.607,30.556,30.48,30.411
