Date,Cash-Buy,Spot-Buy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,Cash-Sell,Spot-Sell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
2018-03-01,28.95,29.25,29.23,29.191,29.142,29.076999999999998,29.003,28.935,28.862,29.491999999999997,29.35,29.335,29.305,29.255,29.191999999999997,29.129,29.06,29.002
2018-03-02,28.925,29.225,29.206,29.166999999999998,29.116,29.053,28.983,28.91,28.837,29.467,29.325,29.31,29.281,29.232,29.169,29.107,29.045,28.983
2018-03-05,28.93,29.23,29.211,29.173000000000002,29.122,29.057,28.985,28.918000000000003,28.842,29.471999999999998,29.33,29.315,29.285,29.236,29.173000000000002,29.107,29.048000000000002,28.988000000000003
2018-03-06,28.925,29.225,29.205,29.166,29.114,29.051,28.976999999999997,28.91,28.831999999999997,29.467,29.325,29.31,29.279,29.226999999999997,29.163,29.095,29.04,28.973000000000003
2018-03-07,28.9,29.2,29.180999999999997,29.142,29.089000000000002,29.022,28.953000000000003,28.886999999999997,28.809,29.441999999999997,29.3,29.285999999999998,29.256999999999998,29.201999999999998,29.138,29.070999999999998,29.013,28.951999999999998
2018-03-08,28.91,29.21,29.191,29.151999999999997,29.095,29.037,28.968000000000004,28.896,28.819000000000003,29.451999999999998,29.31,29.295,29.265,29.21,29.15,29.085,29.018,28.962
2018-03-09,28.94,29.24,29.22,29.180999999999997,29.125,29.065,28.991,28.921,28.845,29.482,29.34,29.324,29.291999999999998,29.238000000000003,29.177,29.11,29.046,28.987
2018-03-12,28.925,29.225,29.204,29.162,29.11,29.046999999999997,28.968000000000004,28.901999999999997,28.825,29.467,29.325,29.309,29.278000000000002,29.226,29.163,29.089000000000002,29.031999999999996,28.973000000000003
2018-03-13,28.9,29.2,29.179000000000002,29.136,29.079,29.015,28.94,28.872,28.79,29.441999999999997,29.3,29.281999999999996,29.247,29.191,29.125999999999998,29.058000000000003,28.996,28.933000000000003
2018-03-14,28.9,29.2,29.178,29.133000000000003,29.075,29.003,28.94,28.866,28.785999999999998,29.441999999999997,29.3,29.281999999999996,29.246,29.188000000000002,29.116999999999997,29.055999999999997,28.99,28.926
2018-03-15,28.835,29.135,29.113000000000003,29.068,29.005,28.941999999999997,28.873,28.796999999999997,28.721999999999998,29.377,29.235,29.215999999999998,29.179000000000002,29.118000000000002,29.055,28.991999999999997,28.925,28.861
2018-03-16,28.81,29.11,29.085,29.035999999999998,28.969,28.905,28.828000000000003,28.76,28.684,29.351999999999997,29.21,29.19,29.149,29.086,29.016,28.947,28.89,28.823
2018-03-19,28.84,29.14,29.115,29.064,29.005,28.936,28.861,28.796999999999997,28.721999999999998,29.381999999999998,29.24,29.218000000000004,29.175,29.12,29.048000000000002,28.982,28.927,28.865
2018-03-20,28.81,29.11,29.085,29.034000000000002,28.975,28.906999999999996,28.833000000000002,28.768,28.684,29.351999999999997,29.21,29.189,29.148000000000003,29.09,29.02,28.956999999999997,28.895,28.833000000000002
2018-03-21,28.825,29.125,29.1,29.051,28.991,28.921999999999997,28.853,28.785,28.706999999999997,29.366999999999997,29.225,29.205,29.165,29.103,29.033,28.973000000000003,28.912,28.851
2018-03-22,28.795,29.095,29.07,29.021,28.951999999999998,28.893,28.82,28.752,28.679000000000002,29.337,29.195,29.174,29.131999999999998,29.066,29.006,28.941999999999997,28.879,28.823
2018-03-23,28.81,29.11,29.083000000000002,29.03,28.96,28.9,28.823,28.745,28.677,29.351999999999997,29.21,29.19,29.149,29.076,29.015,28.941999999999997,28.885,28.823
2018-03-26,28.795,29.095,29.064,29.003,28.94,28.873,28.778000000000002,28.715,28.644000000000002,29.337,29.195,29.169,29.116999999999997,29.054000000000002,28.99,28.916999999999998,28.855,28.788
2018-03-27,28.785,29.085,29.053,28.99,28.925,28.855,28.773000000000003,28.705,28.629,29.326999999999998,29.185,29.158,29.104,29.045,28.969,28.901999999999997,28.835,28.773000000000003
2018-03-28,28.805,29.105,29.081,29.033,28.97,28.904,28.826,28.753,28.684,29.346999999999998,29.205,29.186999999999998,29.15,29.087,29.022,28.951999999999998,28.885,28.833000000000002
2018-03-29,28.8,29.1,29.076999999999998,29.031,28.965,28.903000000000002,28.823,28.75,28.682,29.342,29.2,29.183000000000003,29.15,29.08,29.019000000000002,28.951999999999998,28.88,28.826
2018-03-30,28.755,29.055,29.033,28.99,28.928,28.862,28.783,28.71,28.635,29.296999999999997,29.155,29.138,29.105,29.04,28.974,28.912,28.845,28.783
2018-03-31,28.755,29.055,29.034000000000002,28.991999999999997,28.93,28.861,28.79,28.717,28.639,29.296999999999997,29.155,29.139,29.107,29.046,28.978,28.912,28.845,28.783
