Date,Price
2018-01-02,66.650000000000005684341886080801486968994140625
2018-01-03,67.849999999999994315658113919198513031005859375
2018-01-04,68.7300000000000039790393202565610408782958984375
2018-01-05,68.0100000000000051159076974727213382720947265625
2018-01-08,68.4800000000000039790393202565610408782958984375
2018-01-09,69.0799999999999982946974341757595539093017578125
2018-01-10,69.7900000000000062527760746888816356658935546875
2018-01-11,70.3599999999999994315658113919198513031005859375
2018-01-12,69.6400000000000005684341886080801486968994140625
2018-01-15,70.31000000000000227373675443232059478759765625
2018-01-16,69.400000000000005684341886080801486968994140625
2018-01-17,69.18999999999999772626324556767940521240234375
2018-01-18,69.4800000000000039790393202565610408782958984375
2018-01-19,68.56000000000000227373675443232059478759765625
2018-01-22,69.31999999999999317878973670303821563720703125
2018-01-23,69.81000000000000227373675443232059478759765625
2018-01-24,69.909999999999996589394868351519107818603515625
2018-01-25,71.0799999999999982946974341757595539093017578125
2018-01-26,70.0799999999999982946974341757595539093017578125
2018-01-29,68.409999999999996589394868351519107818603515625
2018-01-30,67.780000000000001136868377216160297393798828125
2018-01-31,67.780000000000001136868377216160297393798828125
2018-02-01,68.599999999999994315658113919198513031005859375
2018-02-02,67.4500000000000028421709430404007434844970703125
2018-02-05,67.68999999999999772626324556767940521240234375
2018-02-06,66.75
2018-02-07,65.7399999999999948840923025272786617279052734375
2018-02-08,64.2600000000000051159076974727213382720947265625
2018-02-09,63.03999999999999914734871708787977695465087890625
2018-02-12,62.2000000000000028421709430404007434844970703125
2018-02-13,61.93999999999999772626324556767940521240234375
2018-02-14,62.28999999999999914734871708787977695465087890625
2018-02-15,62.8599999999999994315658113919198513031005859375
2018-02-16,64.2999999999999971578290569595992565155029296875
2018-02-19,64.9500000000000028421709430404007434844970703125
2018-02-20,64.68000000000000682121026329696178436279296875
2018-02-21,64.81000000000000227373675443232059478759765625
2018-02-22,66.1200000000000045474735088646411895751953125
2018-02-23,67.0400000000000062527760746888816356658935546875
2018-02-26,67.9599999999999937472239253111183643341064453125
2018-02-27,67.590000000000003410605131648480892181396484375
2018-02-28,66.0799999999999982946974341757595539093017578125
2018-03-01,64.2300000000000039790393202565610408782958984375
2018-03-02,64.2600000000000051159076974727213382720947265625
2018-03-05,65.780000000000001136868377216160297393798828125
2018-03-06,65.6700000000000017053025658242404460906982421875
2018-03-07,65.090000000000003410605131648480892181396484375
2018-03-08,63.86999999999999744204615126363933086395263671875
2018-03-09,65.18999999999999772626324556767940521240234375
2018-03-12,64.530000000000001136868377216160297393798828125
2018-03-13,64.2000000000000028421709430404007434844970703125
2018-03-14,63.6099999999999994315658113919198513031005859375
2018-03-15,63.6700000000000017053025658242404460906982421875
2018-03-16,64.68000000000000682121026329696178436279296875
2018-03-19,64.81999999999999317878973670303821563720703125
2018-03-20,66
2018-03-21,68.150000000000005684341886080801486968994140625
2018-03-22,68.9800000000000039790393202565610408782958984375
2018-03-23,69.030000000000001136868377216160297393798828125
2018-03-26,68.81000000000000227373675443232059478759765625
2018-03-27,68.6299999999999954525264911353588104248046875
2018-03-28,68.1299999999999954525264911353588104248046875
2018-03-29,69.0199999999999960209606797434389591217041015625
2018-04-03,69.0199999999999960209606797434389591217041015625
2018-04-04,66.0400000000000062527760746888816356658935546875
2018-04-05,66.5400000000000062527760746888816356658935546875
2018-04-06,66.5100000000000051159076974727213382720947265625
2018-04-09,68.18999999999999772626324556767940521240234375
2018-04-10,70.6700000000000017053025658242404460906982421875
2018-04-11,72.7399999999999948840923025272786617279052734375
2018-04-12,71.43999999999999772626324556767940521240234375
2018-04-13,73.18000000000000682121026329696178436279296875
2018-04-16,72.0499999999999971578290569595992565155029296875
2018-04-17,71.7099999999999937472239253111183643341064453125
2018-04-18,73.7300000000000039790393202565610408782958984375
2018-04-19,74.849999999999994315658113919198513031005859375
2018-04-20,74.6200000000000045474735088646411895751953125
2018-04-23,74.5400000000000062527760746888816356658935546875
2018-04-24,75.8599999999999994315658113919198513031005859375
2018-04-25,73.7900000000000062527760746888816356658935546875
2018-04-26,75.3900000000000005684341886080801486968994140625
2018-04-27,75.3299999999999982946974341757595539093017578125
2018-04-30,75.9200000000000017053025658242404460906982421875
2018-05-01,74.849999999999994315658113919198513031005859375
2018-05-02,73.1400000000000005684341886080801486968994140625
2018-05-03,73.4500000000000028421709430404007434844970703125
2018-05-04,74.75
2018-05-08,74.159999999999996589394868351519107818603515625
2018-05-09,77.599999999999994315658113919198513031005859375
2018-05-10,77.590000000000003410605131648480892181396484375
2018-05-11,77.3700000000000045474735088646411895751953125
2018-05-14,78.1700000000000017053025658242404460906982421875
2018-05-15,78.93999999999999772626324556767940521240234375
2018-05-16,78.18999999999999772626324556767940521240234375
2018-05-17,80.090000000000003410605131648480892181396484375
2018-05-18,78.3799999999999954525264911353588104248046875
2018-05-21,78.340000000000003410605131648480892181396484375
