Date,Cash-Buy,Spot-Buy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,Cash-Sell,Spot-Sell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
2019-04-01,30.375,30.745,30.724,30.682,30.623,30.562,30.498,30.435,30.367,31.065,30.845,30.828,30.794,30.737,30.675,30.617,30.57,30.523
2019-04-02,30.415,30.785,30.763,30.72,30.656,30.599,30.534,30.47,30.401,31.105,30.885,30.867,30.831,30.767,30.711,30.654,30.592,30.545
2019-04-03,30.39,30.76,30.738,30.695,30.63,30.572,30.505,30.44,30.374,31.08,30.86,30.842,30.805,30.742,30.683,30.624,30.567,30.513
2019-04-08,30.41,30.78,30.758,30.714,30.65,30.589,30.518,30.458,30.377,31.1,30.88,30.862,30.825,30.763,30.702,30.639,30.583,30.523
2019-04-09,30.415,30.785,30.761,30.714,30.656,30.592,30.524,30.46,30.379,31.105,30.885,30.866,30.827,30.767,30.706,30.646,30.589,30.522
2019-04-10,30.415,30.785,30.763,30.718,30.659,30.599,30.535,30.47,30.395,31.105,30.885,30.685,30.285,30.771,30.71,30.652,30.595,30.537
2019-04-11,30.44,30.81,30.789,30.746,30.68,30.624,30.563,30.497,30.429,31.13,30.91,30.892,30.857,30.793,30.738,30.679,30.621,30.575
2019-04-12,30.455,30.825,30.804,30.762,30.699,30.643,30.58,30.515,30.447,31.145,30.925,30.907,30.872,30.811,30.755,30.699,30.642,30.594
2019-04-15,30.44,30.81,30.789,30.746,30.684,30.625,30.558,30.498,30.429,31.13,30.91,30.892,30.857,30.797,30.737,30.674,30.621,30.57
2019-04-16,30.45,30.82,30.797,30.752,30.694,30.635,30.57,30.507,30.437,31.14,30.92,30.901,30.863,30.807,30.749,30.69,30.635,30.585
2019-04-17,30.42,30.79,30.768,30.724,30.664,30.605,30.541,30.478,30.407,31.11,30.89,30.872,30.836,30.777,30.717,30.659,30.602,30.551
2019-04-18,30.42,30.79,30.768,30.725,30.66,30.605,30.541,30.475,30.409,31.11,30.89,30.872,30.837,30.773,30.717,30.658,30.599,30.546
2019-04-19,30.405,30.775,30.753,30.709,30.644,30.584,30.519,30.454,30.386,31.095,30.875,30.857,30.82,30.755,30.696,30.635,30.578,30.525
2019-04-22,30.43,30.8,30.778,30.733,30.669,30.607,30.538,30.475,30.406,31.12,30.9,30.882,30.846,30.784,30.722,30.657,30.603,30.551
2019-04-23,30.43,30.8,30.776,30.727,30.67,30.608,30.539,30.475,30.406,31.12,30.9,30.88,30.839,30.782,30.719,30.657,30.6,30.547
2019-04-24,30.445,30.815,30.791,30.744,30.685,30.622,30.556,30.49,30.419,31.135,30.915,30.895,30.856,30.797,30.735,30.676,30.617,30.56
2019-04-25,30.475,30.845,30.822,30.775,30.714,30.65,30.582,30.515,30.443,31.165,30.945,30.926,30.887,30.826,30.762,30.702,30.64,30.588
2019-04-26,30.475,30.845,30.821,30.774,30.714,30.648,30.582,30.515,30.441,31.165,30.945,30.925,30.885,30.828,30.76,30.704,30.637,30.586
2019-04-29,30.47,30.84,30.815,30.766,30.707,30.644,30.577,30.513,30.435,31.16,30.94,30.92,30.88,30.821,30.759,30.694,30.638,30.588
2019-04-30,30.475,30.845,30.823,30.778,30.716,30.65,30.59,30.527,30.455,31.165,30.945,30.926,30.888,30.828,30.762,30.709,30.652,30.6
