Date,Cash-Buy,Spot-Buy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,Cash-Sell,Spot-Sell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
2018-12-03,30.31,30.68,30.649,30.588,30.5,30.441999999999997,30.351,30.275,30.186,31.0,30.78,30.754,30.701999999999998,30.615,30.558000000000003,30.471999999999998,30.405,30.334
2018-12-04,30.28,30.65,30.62,30.561,30.471,30.413,30.320999999999998,30.245,30.156,30.97,30.75,30.724,30.671999999999997,30.585,30.525,30.438000000000002,30.372,30.296
2018-12-05,30.38,30.75,30.72,30.660999999999998,30.57,30.506999999999998,30.416999999999998,30.335,30.241999999999997,31.07,30.85,30.825,30.774,30.685,30.623,30.539,30.465,30.388
2018-12-06,30.42,30.79,30.76,30.7,30.613000000000003,30.54,30.455,30.37,30.279,31.11,30.89,30.865,30.815,30.73,30.659000000000002,30.579,30.505,30.433000000000003
2018-12-07,30.41,30.78,30.749000000000002,30.686999999999998,30.601999999999997,30.531999999999996,30.445,30.353,30.27,31.1,30.88,30.854,30.803,30.721999999999998,30.65,30.569000000000003,30.49,30.414
2018-12-10,30.445,30.815,30.783,30.719,30.642,30.57,30.483,30.397,30.314,31.135,30.915,30.888,30.834,30.758000000000003,30.686999999999998,30.604,30.53,30.461
2018-12-11,30.47,30.84,30.809,30.747,30.665,30.595,30.500999999999998,30.421999999999997,30.339000000000002,31.16,30.94,30.913,30.86,30.785,30.706999999999997,30.621,30.555,30.478
2018-12-12,30.445,30.815,30.784000000000002,30.721999999999998,30.64,30.566999999999997,30.476,30.397,30.311999999999998,31.135,30.915,30.89,30.839000000000002,30.758000000000003,30.686999999999998,30.598000000000003,30.526999999999997,30.454
2018-12-13,30.42,30.79,30.76,30.699,30.611,30.543000000000003,30.455,30.374000000000002,30.287,31.11,30.89,30.864,30.813000000000002,30.728,30.659000000000002,30.579,30.504,30.433000000000003
2018-12-14,30.435,30.805,30.775,30.715,30.631,30.561,30.474,30.386999999999997,30.305,31.125,30.905,30.879,30.828000000000003,30.746,30.676,30.594,30.516,30.448
2018-12-17,30.445,30.815,30.781999999999996,30.717,30.644000000000002,30.572,30.485,30.4,30.314,31.135,30.915,30.888,30.834,30.76,30.69,30.607,30.53,30.463
2018-12-18,30.44,30.81,30.778000000000002,30.715,30.642,30.57,30.479,30.403000000000002,30.320999999999998,31.13,30.91,30.883000000000003,30.828000000000003,30.754,30.685,30.6,30.53,30.458000000000002
2018-12-19,30.385,30.755,30.724,30.662,30.584,30.514,30.423000000000002,30.346999999999998,30.258000000000003,31.075,30.855,30.828000000000003,30.773000000000003,30.698,30.625,30.541999999999998,30.475,30.403000000000002
2018-12-20,30.41,30.78,30.747,30.682,30.603,30.531999999999996,30.443,30.362,30.281999999999996,31.1,30.88,30.851,30.794,30.717,30.645,30.565,30.495,30.426
2018-12-21,30.375,30.745,30.709,30.636,30.563000000000002,30.491999999999997,30.404,30.315,30.243000000000002,31.065,30.845,30.811999999999998,30.747,30.674,30.604,30.528000000000002,30.45,30.381999999999998
2018-12-22,30.4,30.77,30.733,30.66,30.585,30.515,30.430999999999997,30.346,30.261999999999997,31.09,30.87,30.84,30.781,30.71,30.645,30.570999999999998,30.497,30.423000000000002
2018-12-24,30.41,30.78,30.744,30.671999999999997,30.598000000000003,30.53,30.441,30.355,30.276999999999997,31.1,30.88,30.85,30.79,30.72,30.648000000000003,30.565,30.485,30.425
2018-12-25,30.38,30.75,30.717,30.65,30.578000000000003,30.506999999999998,30.415,30.335,30.255,31.07,30.85,30.823,30.77,30.691999999999997,30.621,30.539,30.467,30.403000000000002
2018-12-26,30.39,30.76,30.725,30.656,30.587,30.51,30.42,30.338,30.26,31.08,30.86,30.83,30.769000000000002,30.701999999999998,30.628,30.543000000000003,30.464000000000002,30.401
2018-12-27,30.37,30.74,30.705,30.636,30.581999999999997,30.5,30.413,30.325,30.253,31.06,30.84,30.811,30.752,30.695,30.612,30.539,30.465,30.392
2018-12-28,30.295,30.665,30.631,30.564,30.508000000000003,30.426,30.343000000000004,30.263,30.177,30.985,30.765,30.736,30.679000000000002,30.625,30.541999999999998,30.465999999999998,30.389,30.328000000000003
