Date,Cash-Buy,Spot-Buy,Forward-10Days-Buy,Forward-30Days-Buy,Forward-60Days-Buy,Forward-90Days-Buy,Forward-120Days-Buy,Forward-150Days-Buy,Forward-180Days-Buy,Cash-Sell,Spot-Sell,Forward-10Days-Sell,Forward-30Days-Sell,Forward-60Days-Sell,Forward-90Days-Sell,Forward-120Days-Sell,Forward-150Days-Sell,Forward-180Days-Sell
2018-10-01,30.11,30.48,30.456,30.408,30.346999999999998,30.269000000000002,30.175,30.116999999999997,30.034000000000002,30.8,30.58,30.561999999999998,30.525,30.465,30.385,30.299,30.247,30.183000000000003
2018-10-02,30.245,30.615,30.590999999999998,30.544,30.483,30.404,30.322,30.24,30.159000000000002,30.935,30.715,30.695,30.656,30.596999999999998,30.518,30.447,30.375999999999998,30.305
2018-10-03,30.24,30.61,30.587,30.541,30.476999999999997,30.39,30.305,30.245,30.153000000000002,30.93,30.71,30.691999999999997,30.655,30.594,30.51,30.429000000000002,30.375,30.303
2018-10-04,30.36,30.73,30.706999999999997,30.662,30.599,30.518,30.433000000000003,30.36,30.276999999999997,31.05,30.83,30.811,30.773000000000003,30.711,30.63,30.555,30.49,30.425
2018-10-05,30.405,30.775,30.753,30.709,30.644000000000002,30.565,30.483,30.409000000000002,30.326999999999998,31.095,30.875,30.857,30.82,30.756,30.676,30.6,30.537,30.475
2018-10-08,30.505,30.875,30.851999999999997,30.805999999999997,30.747,30.665,30.589000000000002,30.517,30.434,31.195,30.975,30.956,30.918000000000003,30.862,30.78,30.711,30.647,30.581
2018-10-09,30.54,30.91,30.888,30.843000000000004,30.78,30.7,30.623,30.55,30.471999999999998,31.23,31.01,30.991999999999997,30.956999999999997,30.898000000000003,30.811999999999998,30.749000000000002,30.685,30.616
2018-10-11,30.68,31.05,31.029,30.986,30.92,30.843000000000004,30.768,30.7,30.614,31.37,31.15,31.131999999999998,31.096999999999998,31.035,30.958000000000002,30.892,30.83,30.758000000000003
2018-10-12,30.44,30.81,30.788,30.745,30.680999999999997,30.6,30.518,30.45,30.372,31.13,30.91,30.892,30.855999999999998,30.794,30.715,30.64,30.581999999999997,30.518
2018-10-15,30.5,30.87,30.846999999999998,30.8,30.744,30.66,30.583000000000002,30.513,30.430999999999997,31.19,30.97,30.951,30.913,30.857,30.774,30.701999999999998,30.643,30.574
2018-10-16,30.485,30.855,30.831999999999997,30.787,30.725,30.644000000000002,30.566,30.498,30.412,31.175,30.955,30.936999999999998,30.901,30.842,30.76,30.688000000000002,30.625999999999998,30.555
2018-10-17,30.41,30.78,30.756999999999998,30.712,30.65,30.555,30.483,30.412,30.324,31.1,30.88,30.861,30.824,30.761999999999997,30.67,30.607,30.538,30.47
2018-10-18,30.53,30.9,30.875999999999998,30.829,30.765,30.679000000000002,30.599,30.528000000000002,30.439,31.22,31.0,30.98,30.94,30.875999999999998,30.791999999999998,30.721,30.65,30.58
2018-10-19,30.53,30.9,30.875,30.825,30.76,30.671999999999997,30.583000000000002,30.508000000000003,30.424,31.22,31.0,30.98,30.94,30.873,30.785,30.703000000000003,30.634,30.563000000000002
2018-10-22,30.495,30.865,30.838,30.784000000000002,30.718000000000004,30.63,30.546,30.462,30.377,31.185,30.965,30.944000000000003,30.901999999999997,30.836,30.747,30.676,30.605,30.533
2018-10-23,30.54,30.91,30.885,30.836,30.77,30.68,30.596,30.52,30.432,31.23,31.01,30.989,30.948,30.881,30.791999999999998,30.719,30.65,30.578000000000003
2018-10-24,30.52,30.89,30.865,30.815,30.750999999999998,30.653000000000002,30.573,30.5,30.409000000000002,31.21,30.99,30.97,30.930999999999997,30.865,30.767,30.697,30.63,30.555
2018-10-25,30.565,30.935,30.910999999999998,30.863000000000003,30.799,30.706,30.628,30.552,30.462,31.255,31.035,31.015,30.975,30.912,30.82,30.749000000000002,30.678,30.6
2018-10-26,30.575,30.945,30.92,30.871,30.81,30.713,30.638,30.558000000000003,30.465,31.265,31.045,31.025,30.985,30.923000000000002,30.829,30.759,30.685,30.61
2018-10-29,30.57,30.94,30.915,30.866,30.802,30.706,30.628,30.548000000000002,30.456,31.26,31.04,31.02,30.98,30.914,30.823,30.752,30.68,30.601
2018-10-30,30.555,30.925,30.899,30.846,30.765,30.688000000000002,30.605,30.523000000000003,30.432,31.245,31.025,31.003,30.96,30.877,30.805999999999997,30.721999999999998,30.656999999999996,30.583000000000002
2018-10-31,30.535,30.905,30.881,30.834,30.75,30.646,30.590999999999998,30.506999999999998,30.421999999999997,31.225,31.005,30.985,30.945999999999998,30.862,30.765,30.71,30.636999999999997,30.565
